date,eur_cad_rate
04-01-1999,1.81248
05-01-1999,1.786519
06-01-1999,1.756613
07-01-1999,1.765361
08-01-1999,1.748478
11-01-1999,1.737589
12-01-1999,1.744029
13-01-1999,1.787332
14-01-1999,1.786368
15-01-1999,1.771886
18-01-1999,1.775128
19-01-1999,1.777336
20-01-1999,1.761196
21-01-1999,1.751822
22-01-1999,1.75757
25-01-1999,1.750776
26-01-1999,1.757598
27-01-1999,1.745329
28-01-1999,1.738943
29-01-1999,1.716209
01-02-1999,1.702693
02-02-1999,1.71412
03-02-1999,1.716579
04-02-1999,1.686297
05-02-1999,1.677695
08-02-1999,1.682019
09-02-1999,1.688141
10-02-1999,1.693118
11-02-1999,1.684178
12-02-1999,1.684002
15-02-1999,1.681451
16-02-1999,1.676256
17-02-1999,1.683065
18-02-1999,1.669226
19-02-1999,1.65026
22-02-1999,1.650849
23-02-1999,1.644735
24-02-1999,1.645192
25-02-1999,1.665704
26-02-1999,1.657103
01-03-1999,1.657778
02-03-1999,1.66087
03-03-1999,1.663234
04-03-1999,1.650215
05-03-1999,1.643869
08-03-1999,1.650849
09-03-1999,1.648482
10-03-1999,1.670803
11-03-1999,1.662266
12-03-1999,1.667457
15-03-1999,1.669099
16-03-1999,1.669339
17-03-1999,1.675503
18-03-1999,1.67094
19-03-1999,1.655174
22-03-1999,1.64366
23-03-1999,1.645853
24-03-1999,1.643728
25-03-1999,1.642061
26-03-1999,1.626593
29-03-1999,1.620394
30-03-1999,1.622687
31-03-1999,1.62951
01-04-1999,1.618713
05-04-1999,1.606278
06-04-1999,1.628861
07-04-1999,1.618404
08-04-1999,1.624131
09-04-1999,1.62022
12-04-1999,1.620365
13-04-1999,1.605978
14-04-1999,1.609945
15-04-1999,1.596702
16-04-1999,1.586471
19-04-1999,1.573
20-04-1999,1.58318
21-04-1999,1.578605
22-04-1999,1.56948
23-04-1999,1.569903
26-04-1999,1.566149
27-04-1999,1.576179
28-04-1999,1.567536
29-04-1999,1.553058
30-04-1999,1.539026
03-05-1999,1.531975
04-05-1999,1.539351
05-05-1999,1.563626
06-05-1999,1.570033
07-05-1999,1.573272
10-05-1999,1.573904
11-05-1999,1.559858
12-05-1999,1.557113
13-05-1999,1.548991
14-05-1999,1.557789
17-05-1999,1.558869
18-05-1999,1.558754
19-05-1999,1.559575
20-05-1999,1.55845
21-05-1999,1.543708
25-05-1999,1.546102
26-05-1999,1.540735
27-05-1999,1.538052
28-05-1999,1.535476
31-05-1999,1.541554
01-06-1999,1.548929
02-06-1999,1.534168
03-06-1999,1.527093
04-06-1999,1.519269
07-06-1999,1.516444
08-06-1999,1.535873
09-06-1999,1.537837
10-06-1999,1.529942
11-06-1999,1.534814
14-06-1999,1.519128
15-06-1999,1.525845
16-06-1999,1.503051
17-06-1999,1.510152
18-06-1999,1.518867
21-06-1999,1.518533
22-06-1999,1.51699
23-06-1999,1.520402
24-06-1999,1.525001
25-06-1999,1.528461
28-06-1999,1.5241
29-06-1999,1.525697
30-06-1999,1.516349
02-07-1999,1.500804
05-07-1999,1.4984
06-07-1999,1.503693
07-07-1999,1.500697
08-07-1999,1.499847
09-07-1999,1.498957
12-07-1999,1.501393
13-07-1999,1.508696
14-07-1999,1.511937
15-07-1999,1.513841
16-07-1999,1.512304
19-07-1999,1.522299
20-07-1999,1.554014
21-07-1999,1.580949
22-07-1999,1.578687
23-07-1999,1.581885
26-07-1999,1.608234
27-07-1999,1.607071
28-07-1999,1.606257
29-07-1999,1.616482
30-07-1999,1.610297
03-08-1999,1.598025
04-08-1999,1.603672
05-08-1999,1.613199
06-08-1999,1.621003
09-08-1999,1.610269
10-08-1999,1.612477
11-08-1999,1.58923
12-08-1999,1.579788
13-08-1999,1.561902
16-08-1999,1.565199
17-08-1999,1.556043
18-08-1999,1.557674
19-08-1999,1.588739
20-08-1999,1.59231
23-08-1999,1.578355
24-08-1999,1.570486
25-08-1999,1.566522
26-08-1999,1.569019
27-08-1999,1.561973
30-08-1999,1.558769
31-08-1999,1.582231
01-09-1999,1.572774
02-09-1999,1.597232
03-09-1999,1.583196
07-09-1999,1.580617
08-09-1999,1.575302
09-09-1999,1.560863
10-09-1999,1.534515
13-09-1999,1.528434
14-09-1999,1.532897
15-09-1999,1.532903
16-09-1999,1.537193
17-09-1999,1.532182
20-09-1999,1.538887
21-09-1999,1.5402
22-09-1999,1.541943
23-09-1999,1.53471
24-09-1999,1.541464
27-09-1999,1.53506
28-09-1999,1.539853
29-09-1999,1.554681
30-09-1999,1.564865
01-10-1999,1.579945
04-10-1999,1.574095
05-10-1999,1.570993
06-10-1999,1.572016
07-10-1999,1.577971
08-10-1999,1.567939
12-10-1999,1.583864
13-10-1999,1.594702
14-10-1999,1.600895
15-10-1999,1.616622
18-10-1999,1.623123
19-10-1999,1.613217
20-10-1999,1.603947
21-10-1999,1.606183
22-10-1999,1.576277
25-10-1999,1.572069
26-10-1999,1.555216
27-10-1999,1.550844
28-10-1999,1.548747
29-10-1999,1.549443
01-11-1999,1.541005
02-11-1999,1.545059
03-11-1999,1.540504
04-11-1999,1.529203
05-11-1999,1.521089
08-11-1999,1.522612
09-11-1999,1.533311
10-11-1999,1.537463
12-11-1999,1.509208
15-11-1999,1.511155
16-11-1999,1.517209
17-11-1999,1.526964
18-11-1999,1.508343
19-11-1999,1.508547
22-11-1999,1.510963
23-11-1999,1.503856
24-11-1999,1.494992
25-11-1999,1.497855
26-11-1999,1.49029
29-11-1999,1.490892
30-11-1999,1.484836
01-12-1999,1.484797
02-12-1999,1.482511
03-12-1999,1.481056
06-12-1999,1.510749
07-12-1999,1.508403
08-12-1999,1.51704
09-12-1999,1.498902
10-12-1999,1.501943
13-12-1999,1.496959
14-12-1999,1.491058
15-12-1999,1.492695
16-12-1999,1.503203
17-12-1999,1.491539
20-12-1999,1.489354
21-12-1999,1.491112
22-12-1999,1.487112
23-12-1999,1.498152
24-12-1999,1.487747
29-12-1999,1.458279
30-12-1999,1.457197
31-12-1999,1.451332
04-01-2000,1.498849
05-01-2000,1.500094
06-01-2000,1.502801
07-01-2000,1.503209
10-01-2000,1.492802
11-01-2000,1.504849
12-01-2000,1.497651
13-01-2000,1.489843
14-01-2000,1.468697
17-01-2000,1.463168
18-01-2000,1.467361
19-01-2000,1.469189
20-01-2000,1.465678
21-01-2000,1.45366
24-01-2000,1.444012
25-01-2000,1.445302
26-01-2000,1.440363
27-01-2000,1.419427
28-01-2000,1.413565
31-01-2000,1.415404
01-02-2000,1.408107
02-02-2000,1.411699
03-02-2000,1.423697
04-02-2000,1.411915
07-02-2000,1.413735
08-02-2000,1.426369
09-02-2000,1.431669
10-02-2000,1.43069
11-02-2000,1.428038
14-02-2000,1.423025
15-02-2000,1.433158
16-02-2000,1.427368
17-02-2000,1.431906
18-02-2000,1.428851
21-02-2000,1.435002
22-02-2000,1.468973
23-02-2000,1.465237
24-02-2000,1.45032
25-02-2000,1.424879
28-02-2000,1.386121
29-02-2000,1.402426
01-03-2000,1.40833
02-03-2000,1.415707
03-03-2000,1.402397
06-03-2000,1.392291
07-03-2000,1.394365
08-03-2000,1.394648
09-03-2000,1.399789
10-03-2000,1.400774
13-03-2000,1.412298
14-03-2000,1.404794
15-03-2000,1.413067
16-03-2000,1.4272
17-03-2000,1.426487
20-03-2000,1.429277
21-03-2000,1.427372
22-03-2000,1.410884
23-03-2000,1.412998
24-03-2000,1.429002
27-03-2000,1.415006
28-03-2000,1.406509
29-03-2000,1.391481
30-03-2000,1.390789
31-03-2000,1.392624
03-04-2000,1.384677
04-04-2000,1.381459
05-04-2000,1.405348
06-04-2000,1.397798
07-04-2000,1.388167
10-04-2000,1.395484
11-04-2000,1.404071
12-04-2000,1.404071
13-04-2000,1.398689
14-04-2000,1.404266
17-04-2000,1.422047
18-04-2000,1.411051
19-04-2000,1.400612
20-04-2000,1.384439
21-04-2000,1.382985
24-04-2000,1.383935
25-04-2000,1.372806
26-04-2000,1.350145
27-04-2000,1.359919
28-04-2000,1.34091
01-05-2000,1.353259
02-05-2000,1.348784
03-05-2000,1.337148
04-05-2000,1.329754
05-05-2000,1.333111
08-05-2000,1.334265
09-05-2000,1.340226
10-05-2000,1.353313
11-05-2000,1.350522
12-05-2000,1.350522
15-05-2000,1.360528
16-05-2000,1.350394
17-05-2000,1.337334
18-05-2000,1.337096
19-05-2000,1.340658
22-05-2000,1.346368
23-05-2000,1.365803
24-05-2000,1.372387
25-05-2000,1.363301
26-05-2000,1.376238
29-05-2000,1.404067
30-05-2000,1.405472
31-05-2000,1.402175
01-06-2000,1.39632
02-06-2000,1.394256
05-06-2000,1.392199
06-06-2000,1.397127
07-06-2000,1.409717
08-06-2000,1.418353
09-06-2000,1.409736
12-06-2000,1.403316
13-06-2000,1.413322
14-06-2000,1.412497
15-06-2000,1.398695
16-06-2000,1.40987
19-06-2000,1.413039
20-06-2000,1.403804
21-06-2000,1.399294
22-06-2000,1.386924
23-06-2000,1.385682
26-06-2000,1.389844
27-06-2000,1.394943
28-06-2000,1.402234
29-06-2000,1.397815
30-06-2000,1.417464
03-07-2000,1.407307
04-07-2000,1.403759
05-07-2000,1.419746
06-07-2000,1.412651
07-07-2000,1.411804
10-07-2000,1.409527
11-07-2000,1.409585
12-07-2000,1.405737
13-07-2000,1.38808
14-07-2000,1.385757
17-07-2000,1.389468
18-07-2000,1.383287
19-07-2000,1.360831
20-07-2000,1.362597
21-07-2000,1.375068
24-07-2000,1.369168
25-07-2000,1.374623
26-07-2000,1.382267
27-07-2000,1.377289
28-07-2000,1.365601
31-07-2000,1.366725
01-08-2000,1.375255
02-08-2000,1.360805
03-08-2000,1.346717
04-08-2000,1.342597
07-08-2000,1.356979
08-08-2000,1.345075
09-08-2000,1.337329
10-08-2000,1.339772
11-08-2000,1.352587
14-08-2000,1.338513
15-08-2000,1.354106
16-08-2000,1.345892
17-08-2000,1.35128
18-08-2000,1.351334
21-08-2000,1.333147
22-08-2000,1.331341
23-08-2000,1.324878
24-08-2000,1.336958
25-08-2000,1.334121
28-08-2000,1.337437
29-08-2000,1.334776
30-08-2000,1.317655
31-08-2000,1.318829
01-09-2000,1.308475
04-09-2000,1.327569
05-09-2000,1.31453
06-09-2000,1.303185
07-09-2000,1.286086
08-09-2000,1.284306
11-09-2000,1.270129
12-09-2000,1.273557
13-09-2000,1.276829
14-09-2000,1.289656
15-09-2000,1.288479
18-09-2000,1.268145
19-09-2000,1.267099
20-09-2000,1.253642
21-09-2000,1.263219
22-09-2000,1.303777
25-09-2000,1.303332
26-09-2000,1.300634
27-09-2000,1.318811
28-09-2000,1.322912
29-09-2000,1.322176
02-10-2000,1.32438
03-10-2000,1.3224
04-10-2000,1.311988
05-10-2000,1.306762
06-10-2000,1.30268
09-10-2000,1.307249
10-10-2000,1.308157
11-10-2000,1.310314
12-10-2000,1.301227
